Sl No.,Bank Code,Bank Name,Branches
195,SVCB,THE SHAMRAO VITHAL COOPERATIVE BANK,535
196,SIDC,THE SINDHUDURG DISTRICT CENTRAL COOP BANK LTD,100
197,SDCB,THE SURAT DISTRICT COOPERATIVE BANK LIMITED,113
198,SPCB,THE SURAT PEOPLES COOPERATIVE BANK LIMITED,31
199,TNSC,THE TAMIL NADU STATE APEX COOPERATIVE BANK,28
200,TBSB,THE THANE BHARAT SAHAKARI BANK LIMITED,31
201,TDCB,THE THANE DISTRICT CENTRAL COOPERATIVE BANK LIMITED,119
202,UUCB,THE UDAIPUR URBAN CO OPERATIVE BANK LTD,14
203,URBN,THE URBAN CO OPERATIVE BANK Ltd No ONE SEVEN FIVE EIGHT PERINTHALMANNA,25
204,VARA,THE VARACHHA COOPERATIVE BANK LIMITED,24
205,VCOB,The Vijay Co Operative Bank Limited,17
206,VSBL,THE VISHWESHWAR SAHAKARI BANK LIMITED,29
207,WBSC,THE WEST BENGAL STATE COOPERATIVE BANK,344
208,ZCBL,THE ZOROASTRIAN COOPERATIVE BANK LIMITED,20
209,THRS,THRISSUR DISTRICT CO-OPERATIVE BANK LTD,59
210,TJSB,TJSB SAHAKARI BANK LTD,138
211,TGMB,TUMKUR GRAIN MERCHANTS COOPERATIVE BANK LIMITED,32
212,UCBA,UCO BANK,3076
213,UJVN,Ujjivan Small Finance Bank Limited,575
214,UBIN,UNION BANK OF INDIA,10242
215,UOVB,UNITED OVERSEAS BANK LIMITED,1
216,UTKS,UTKARSH SMALL FINANCE BANK,621
217,UPCB,UTTAR PRADESH COOPERATIVE BANK LTD,80
218,VASJ,VASAI JANATA SAHAKARI BANK LTD,14
219,VVSB,VASAI VIKAS SAHAKARI BANK LIMITED,22
220,HVBK,WOORI BANK,5
221,YESB,YES BANK,3126
222,ZSBL,ZILA SAHAKRI BANK LIMITED GHAZIABAD,35
